,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach
226,0,0,20,33.361999999999995,29,0.48,402.5,0,1,0,0,0,0
227,0,0,20,33.361999999999995,29,0.48,345.0,0,1,0,0,0,0
228,1,0,40,56.5,48,0.8,575.0,0,0,0,1,0,0
229,1,0,40,56.5,48,0.8,747.5,0,0,0,1,0,0
230,0,1,45,48.211999999999996,53,8.93,900.0,0,0,0,0,1,0
231,0,1,90,46.408,51,10.17,1075.25,0,0,0,1,0,1
232,0,1,18,14.975,12,9.35,470.0,0,1,0,0,0,0
233,0,1,18,14.975,12,9.35,475.0,0,1,0,0,0,0
234,0,1,18,14.975,12,9.35,320.0,0,1,0,0,0,0
235,0,0,20,5.65,14,0.23,250.0,0,1,0,0,0,0
236,0,1,70,24.316,27,3.23,1278.8,0,1,0,0,0,1
237,0,1,11,39.342,40,5.08,130.0,1,0,0,0,0,0
238,0,1,18,77.889,64,5.53,560.0,0,1,0,0,0,0
239,0,1,26,110.01299999999999,93,9.78,805.0,0,0,1,0,0,0
240,1,1,50,93.632,77,10.38,741.0,0,0,0,0,0,1
241,0,1,30,364.675,270,203.75,2235.0,0,0,1,0,0,0
242,0,1,30,364.675,270,203.75,2400.0,0,0,1,0,0,0
243,0,0,50,5.095,8,0.13,300.0,0,0,0,0,0,1
244,0,0,50,5.095,8,0.13,400.0,0,0,0,0,0,1
245,0,1,18,25.505,34,11.28,700.0,0,1,0,0,0,0
246,0,1,18,25.505,34,11.28,632.0,0,1,0,0,0,0
247,0,1,60,98.345,90,5.73,1334.0,1,0,0,0,0,1
248,0,1,60,98.345,90,5.73,538.97,1,0,0,0,0,1
249,0,1,60,98.345,90,5.73,678.5,1,0,0,0,0,1
250,0,1,60,98.345,90,5.73,890.0,1,0,0,0,0,1
251,0,1,16,25.771,29,9.48,747.5,0,1,0,0,0,0
252,0,1,16,25.771,29,9.48,390.0,0,1,0,0,0,0
253,0,1,70,68.862,54,8.7,1752.0,0,1,0,0,0,1
254,0,0,60,115.553,90,1.5,1002.8,1,0,0,0,0,1
255,0,0,60,115.553,90,1.5,1236.77,1,0,0,0,0,1
256,0,0,60,115.553,90,1.5,1990.0,1,0,0,0,0,1
257,0,0,60,115.553,90,1.5,2110.0,1,0,0,0,0,1
258,1,1,14,25.771,29,9.73,747.5,0,1,0,0,0,0
259,1,1,20,357.596,277,58.32,1325.09,0,1,0,0,0,0
260,1,1,50,93.632,77,10.38,1325.0,0,0,0,0,0,1
261,0,0,25,13.869000000000002,11,0.18,281.75,0,0,1,0,0,0
262,0,0,100,11.777999999999999,20,0.33,1458.2,0,0,0,0,1,1
263,0,1,50,78.737,79,10.15,670.0,0,0,0,0,0,1
264,1,1,14,60.605,52,6.17,450.0,0,1,0,0,0,0
265,0,1,9,89.694,70,10.58,650.0,1,0,0,0,0,0
266,0,1,30,165.405,139,23.13,1385.75,0,0,1,0,0,0
267,0,0,50,66.429,69,5.58,736.0,0,0,0,0,0,1
268,0,0,50,66.429,69,5.58,895.0,0,0,0,0,0,1
269,0,1,50,88.55,70,10.83,1050.0,0,0,0,0,0,1
270,0,0,23,37.846,35,0.58,356.5,0,1,0,0,0,0
271,0,0,23,37.846,35,0.58,405.0,0,1,0,0,0,0
272,0,1,35,165.183,151,76.73,1276.5,0,0,1,0,0,0
273,0,1,35,165.183,151,76.73,1521.55,0,0,1,0,0,0
274,0,1,35,165.183,151,76.73,1145.0,0,0,1,0,0,0
275,0,1,46,407.376,331,11.82,1842.19,0,0,0,0,1,0
276,0,1,22,136.925,121,9.5,1228.58,0,1,0,0,0,0
277,0,0,45,10.989,9,0.15,250.0,0,0,0,0,1,0
278,0,1,21,222.548,186,9.55,880.0,0,1,0,0,0,0
279,0,1,12,158.84799999999998,137,72.65,1094.8,0,1,0,0,0,0
280,0,1,22,93.15700000000001,91,10.48,690.0,0,1,0,0,0,0
281,0,1,22,93.15700000000001,91,10.48,680.0,0,1,0,0,0,0
282,0,1,22,93.15700000000001,91,10.48,935.0,0,1,0,0,0,0
283,0,1,20,26.249000000000002,27,4.73,542.8,0,1,0,0,0,0
284,1,1,7,58.273,64,6.27,586.5,1,0,0,0,0,0
285,1,1,7,58.273,64,6.27,535.46,1,0,0,0,0,0
286,1,1,7,58.273,64,6.27,680.0,1,0,0,0,0,0
287,0,1,52,289.195,236,82.47,8152.35,0,0,0,0,0,1
288,0,0,23,8.588,13,0.22,276.0,0,1,0,0,0,0
289,0,0,23,8.588,13,0.22,431.25,0,1,0,0,0,0
290,0,0,23,8.588,13,0.22,385.0,0,1,0,0,0,0
291,0,1,12,164.85,142,7.18,634.8,0,1,0,0,0,0
292,0,1,40,35.984,41,9.08,693.0,0,0,0,1,0,0
293,0,0,20,23.578000000000003,27,0.45,273.7,0,1,0,0,0,0
294,1,1,20,1.5959999999999999,6,32.05,3154.45,0,1,0,0,0,0
295,0,0,30,17.31,18,0.3,350.75,0,0,1,0,0,0
296,0,0,25,10.953,11,0.18,805.0,0,0,1,0,0,0
297,0,1,55,71.934,65,8.3,931.5,1,0,0,0,0,1
298,0,0,15,5.655,9,0.15,253.0,0,1,0,0,0,0
299,0,1,12,105.801,90,7.48,561.78,0,1,0,0,0,0
300,0,1,12,105.801,90,7.48,500.25,0,1,0,0,0,0
301,0,1,20,81.485,74,10.87,630.0,0,1,0,0,0,0
302,0,1,20,81.485,74,10.87,727.0,0,1,0,0,0,0
303,0,1,15,17.621,25,70.2,475.0,0,1,0,0,0,0
304,0,1,15,17.621,25,70.2,517.5,0,1,0,0,0,0
305,0,1,50,82.111,76,9.63,700.0,0,0,0,0,0,1
306,0,1,50,82.111,76,9.63,727.0,0,0,0,0,0,1
307,0,1,60,77.336,79,9.9,1260.0,1,0,0,0,0,1
308,0,1,60,77.336,79,9.9,712.0,1,0,0,0,0,1
309,0,1,43,44.492,61,7.0,483.0,0,0,0,1,0,0
310,0,1,43,44.492,61,7.0,855.0,0,0,0,1,0,0
311,0,1,35,428.097,307,51.57,2869.25,0,0,1,0,0,0
312,0,1,35,428.097,307,51.57,3900.26,0,0,1,0,0,0
313,0,1,40,35.984,41,9.08,580.0,0,0,0,1,0,0
314,0,1,8,95.803,83,10.52,550.0,1,0,0,0,0,0
315,0,1,8,95.803,83,10.52,632.0,1,0,0,0,0,0
316,0,1,24,217.908,160,10.33,910.0,0,0,1,0,0,0
317,1,0,16,4.5569999999999995,13,0.22,276.0,0,1,0,0,0,0
318,1,0,16,4.5569999999999995,13,0.22,327.75,0,1,0,0,0,0
319,1,0,16,4.5569999999999995,13,0.22,395.0,0,1,0,0,0,0
320,0,1,25,101.458,80,10.42,710.41,0,0,1,0,0,0
321,0,0,45,11.062000000000001,16,0.27,448.5,0,0,0,0,1,0
322,0,0,45,11.062000000000001,16,0.27,542.225,0,0,0,0,1,0
323,0,0,45,11.062000000000001,16,0.27,400.0,0,0,0,0,1,0
324,0,0,45,11.062000000000001,16,0.27,435.0,0,0,0,0,1,0
325,0,1,75,29.743000000000002,35,3.78,897.0,0,1,0,0,0,1
326,0,1,75,29.743000000000002,35,3.78,1265.0,0,1,0,0,0,1
327,0,1,100,111.171,92,10.77,1713.5,0,0,0,0,1,1
328,0,1,30,98.04299999999999,87,10.98,828.0,0,0,1,0,0,0
329,0,1,30,98.04299999999999,87,10.98,975.0,0,0,1,0,0,0
330,0,1,20,167.325,128,6.8,675.0,0,1,0,0,0,0
331,0,1,80,60.373000000000005,60,10.33,1580.0,0,0,1,0,0,1
332,0,1,80,60.373000000000005,60,10.33,1496.0,0,0,1,0,0,1
333,0,1,60,69.73899999999999,66,9.53,1130.0,1,0,0,0,0,1
334,1,0,18,14.620999999999999,16,0.27,320.0,0,1,0,0,0,0
335,0,1,110,66.1,56,9.47,2310.0,1,0,0,0,0,2
336,1,1,50,49.783,40,9.33,700.0,0,0,0,0,0,1
337,0,1,13,71.257,64,3.05,584.2,0,1,0,0,0,0
338,0,0,50,28.124000000000002,24,0.4,420.0,0,0,0,0,0,1
339,0,1,40,34.378,29,8.73,800.0,0,0,0,1,0,0
340,0,1,30,19.437,38,9.82,535.9,0,0,1,0,0,0
341,0,1,44,48.016999999999996,54,9.67,1150.0,0,0,0,1,0,0
342,0,0,30,23.158,21,0.35,499.1,0,0,1,0,0,0
343,0,0,30,23.158,21,0.35,310.5,0,0,1,0,0,0
344,0,1,30,37.119,44,1650.85,627.88,0,0,1,0,0,0
345,0,1,30,37.119,44,1650.85,685.0,0,0,1,0,0,0
346,0,1,30,144.945,124,11.03,850.0,0,0,1,0,0,0
347,0,1,30,144.945,124,11.03,859.5,0,0,1,0,0,0
348,0,1,50,69.157,73,7.87,920.0,0,0,0,0,0,1
349,0,1,50,69.157,73,7.87,1157.89,0,0,0,0,0,1
350,0,1,50,69.157,73,7.87,1290.0,0,0,0,0,0,1
351,0,1,50,13.033,29,2.73,729.1,0,0,0,0,0,1
352,0,1,50,13.033,29,2.73,400.0,0,0,0,0,0,1
353,0,1,50,13.033,29,2.73,261.0,0,0,0,0,0,1
354,0,1,20,167.325,128,6.8,810.0,0,1,0,0,0,0
355,0,1,16,101.484,121,10.0,895.0,0,1,0,0,0,0
356,0,0,30,49.606,36,0.6,580.0,0,0,1,0,0,0
357,0,0,50,52.343999999999994,43,0.72,500.0,0,0,0,0,0,1
358,1,1,150,20.416,23,7.18,1125.0,0,0,0,1,0,2
359,0,0,14,477.126,348,5.8,3507.5,0,1,0,0,0,0
360,0,1,22,308.04,227,14.93,1780.0,0,1,0,0,0,0
361,0,1,22,308.04,227,14.93,1456.0,0,1,0,0,0,0
362,0,1,60,69.73899999999999,66,9.53,712.0,1,0,0,0,0,1
363,1,1,50,49.783,40,9.33,869.4,0,0,0,0,0,1
364,0,0,50,52.343999999999994,43,0.72,618.125,0,0,0,0,0,1
365,0,1,16,100.931,104,9.37,920.0,0,1,0,0,0,0
366,0,1,18,46.138999999999996,52,6.18,379.5,0,1,0,0,0,0
367,0,1,18,46.138999999999996,52,6.18,485.47,0,1,0,0,0,0
368,0,1,18,46.138999999999996,52,6.18,600.0,0,1,0,0,0,0
369,0,1,60,115.029,95,1440.28,1890.6,1,0,0,0,0,1
370,0,1,60,58.266000000000005,79,10.17,911.57,1,0,0,0,0,1
371,0,0,22,29.238000000000003,35,0.58,454.25,0,1,0,0,0,0
372,0,1,52,279.04900000000004,219,73.83,2114.85,0,0,0,0,0,1
373,0,1,52,279.04900000000004,219,73.83,2237.0,0,0,0,0,0,1
374,0,1,25,6.882000000000001,12,12.08,405.95,0,0,1,0,0,0
375,0,1,26,235.467,234,8773.95,2296.16,0,0,1,0,0,0
376,0,1,25,6.882000000000001,12,12.08,335.0,0,0,1,0,0,0
377,0,1,20,495.899,391,72.22,2880.75,0,1,0,0,0,0
378,0,1,11,57.31399999999999,77,8.65,978.77,1,0,0,0,0,0
379,0,0,30,76.264,71,1.18,1417.95,0,0,1,0,0,0
380,0,1,16,19.765,24,10.18,632.5,0,1,0,0,0,0
381,0,1,16,19.765,24,10.18,800.0,0,1,0,0,0,0
382,0,1,17,46.172,46,3.88,399.0,0,1,0,0,0,0
383,0,0,30,24.494,26,0.43,900.0,0,0,1,0,0,0
384,0,1,30,37.721,41,4.83,399.0,0,0,1,0,0,0
385,1,1,10,147.536,130,7.08,550.0,1,0,0,0,0,0
386,1,1,45,999.336,736,183.17,9743.95,0,0,0,0,1,0
387,0,1,45,999.1289999999999,736,87.15,6924.61,0,0,0,0,1,0
388,0,1,40,828.8710000000001,605,55.08,4372.3,0,0,0,1,0,0
389,1,0,30,97.50399999999999,67,1.12,1800.0,0,0,1,0,0,0
390,0,0,32,7.711,15,0.25,203.0,0,0,1,0,0,0
391,0,1,13,251.049,206,5.97,324.3,0,1,0,0,0,0
392,0,1,35,116.56700000000001,92,10.52,729.1,0,0,1,0,0,0
393,0,1,19,37.763000000000005,47,5.38,362.25,0,1,0,0,0,0
394,0,0,40,30.519000000000002,27,0.45,400.0,0,0,0,1,0,0
395,0,1,20,13.533,25,3.68,400.0,0,1,0,0,0,0
396,0,1,15,21.06,20,3.67,500.0,0,1,0,0,0,0
397,0,0,40,138.977,114,1.9,1120.0,0,0,0,1,0,0
398,0,1,100,34.441,31,7.0,1375.0,0,0,0,0,1,1
399,0,1,100,34.441,31,7.0,1350.0,0,0,0,0,1,1
400,0,0,20,7.712999999999999,14,0.23,293.25,0,1,0,0,0,0
401,0,0,20,7.712999999999999,14,0.23,325.0,0,1,0,0,0,0
402,0,0,20,23.281999999999996,27,0.45,262.0,0,1,0,0,0,0
403,0,1,40,44.1,58,5.98,490.0,0,0,0,1,0,0
404,0,1,40,44.1,58,5.98,675.0,0,0,0,1,0,0
405,0,1,73,88.54799999999999,87,4.72,1140.0,0,1,0,0,0,1
406,0,1,73,88.54799999999999,87,4.72,1050.0,0,1,0,0,0,1
407,0,1,16,826.791,607,60.08,3420.0,0,1,0,0,0,0
408,1,1,40,504.379,382,4.92,2415.0,0,0,0,1,0,0
409,1,1,40,504.379,382,4.92,2127.5,0,0,0,1,0,0
410,1,1,40,504.379,382,4.92,2612.0,0,0,0,1,0,0
411,0,1,35,328.83099999999996,281,32.32,2100.0,0,0,1,0,0,0
412,0,1,100,51.097,54,31.95,1500.0,0,0,0,0,1,1
413,0,1,100,51.097,54,31.95,1800.0,0,0,0,0,1,1
414,0,1,40,48.645,50,8.92,725.0,0,0,0,1,0,0
415,0,1,36,719.316,520,78.27,4645.0,0,0,1,0,0,0
416,0,1,10,48.174,56,5.47,600.0,1,0,0,0,0,0
417,0,1,10,48.174,56,5.47,615.0,1,0,0,0,0,0
418,0,1,50,137.537,129,11.05,1035.0,0,0,0,0,0,1
419,0,0,14,35.099000000000004,28,0.47,340.0,0,1,0,0,0,0
420,0,1,40,111.48,101,11.33,977.5,0,0,0,1,0,0
421,0,1,40,111.48,101,11.33,1075.0,0,0,0,1,0,0
422,0,1,50,137.537,129,11.05,950.0,0,0,0,0,0,1
423,0,1,50,137.537,129,11.05,880.0,0,0,0,0,0,1
424,0,1,18,77.402,80,30.67,813.05,0,1,0,0,0,0
425,0,1,70,94.13799999999999,90,9.75,1900.0,0,1,0,0,0,1
426,0,1,70,94.13799999999999,90,9.75,2290.0,0,1,0,0,0,1
427,0,1,23,435.028,356,11.72,1299.0,0,1,0,0,0,0
428,0,1,35,94.098,73,5.6,650.0,0,0,1,0,0,0
429,0,1,85,53.946999999999996,55,5.7,990.0,0,0,1,0,0,1
430,0,1,85,53.946999999999996,55,5.7,990.0,0,0,1,0,0,1
431,0,1,30,49.056999999999995,53,7.18,660.0,0,0,1,0,0,0
432,0,0,40,3.492,10,0.17,330.0,0,0,0,1,0,0
433,0,0,40,3.492,10,0.17,310.0,0,0,0,1,0,0
434,0,1,40,106.58,104,7.87,760.0,0,0,0,1,0,0
435,0,0,8,84.709,69,1.15,1640.0,1,0,0,0,0,0
436,0,1,25,617.8919999999999,504,64.2,3550.0,0,0,1,0,0,0
437,0,1,25,617.8919999999999,504,64.2,3325.0,0,0,1,0,0,0
438,0,1,100,168.917,168,11.15,1100.0,0,0,0,0,1,1
439,0,1,55,46.115,53,3.95,460.0,1,0,0,0,0,1
440,0,0,38,5.985,12,0.2,385.0,0,0,0,1,0,0
441,0,0,38,5.985,12,0.2,355.0,0,0,0,1,0,0
442,0,1,60,37.141999999999996,30,10.25,680.0,1,0,0,0,0,1
443,0,1,30,91.084,77,11.63,767.0,0,0,1,0,0,0
444,0,1,40,8.681000000000001,16,6.63,325.0,0,0,0,1,0,0
445,0,1,40,184.207,151,8.25,962.0,0,0,0,1,0,0
446,0,1,20,369.704,286,13.35,1290.3,0,1,0,0,0,0
447,0,0,60,48.846000000000004,46,0.77,747.5,1,0,0,0,0,1
448,0,1,30,20.851999999999997,23,7.43,530.0,0,0,1,0,0,0
449,0,1,25,19.468,28,2.98,224.75,0,0,1,0,0,0
450,0,1,25,19.468,28,2.98,500.0,0,0,1,0,0,0
451,0,1,45,115.055,103,9.85,985.0,0,0,0,0,1,0
452,0,1,50,164.195,143,12.18,900.0,0,0,0,0,0,1
